the location of the crime, 124, char, 2
211584.298375208, 211584.698180792, 3.00250053405762, 4.0, physics and chemistry are harb
211585.647940458, 211585.747940833, -5.0, 4.0, physics and chemistry are har
211585.83148275, 211585.914904625, -5.0, 4.0, physics and chemistry are harc
211585.998572167, 211586.081799042, -5.0, 4.0, physics and chemistry are hard
the power of denial, 82, char, 3
211589.081870167, 211590.647636125, 17.4400005340576, 4.0, r
211589.081870167, 211590.647636125, 17.4400005340576, 4.0, q
211591.365329792, 211591.447437208, -5.0, 4.0, s
211591.532196, 211591.614202417, -5.0, 4.0, p
211591.665616125, 211591.747466875, -5.0, 4.0, t
211592.698890042, 211593.148838542, 12.4899997711182, 4.0, ti
211594.732352792, 211595.297608333, 27.4225006103516, 4.0, tiz
211595.865900333, 211595.948919125, 100.0, 1.0, ti
211596.398701333, 211596.515680542, 100.0, 1.0, t
211597.215768542, 211598.115862, 8.03500080108643, 4.0, ti
211597.215768542, 211598.115862, 8.03500080108643, 4.0, th
211599.999306458, 211600.332697333, 6.05500030517578, 4.0, thi
211599.999306458, 211600.332697333, 6.05500030517578, 4.0, tha
211601.182638167, 211601.264797917, -5.0, 4.0, th
211601.366201542, 211601.431481167, -5.0, 4.0, thf
211601.516303958, 211601.598125042, -5.0, 4.0, the
211603.132948667, 211603.366168292, 2.09500026702881, 4.0, thea
211603.132948667, 211603.366168292, 2.09500026702881, 4.0, theb
211603.799502417, 211603.882880792, -5.0, 4.0, the
211604.966503125, 211607.131972875, 16.2849998474121, 4.0, the p
211608.133301958, 211609.166621417, 12.2424983978271, 4.0, the pi
211610.1168215, 211610.349936, 100.0, 1.0, the p
211610.800064, 211611.433366167, 15.0475006103516, 4.0, the po
211612.966884542, 211613.950126667, 26.5149993896484, 4.0, the poz
211612.966884542, 211613.950126667, 26.5149993896484, 4.0, the poy
211614.566938833, 211614.648924875, -5.0, 4.0, the pox
211614.750446583, 211614.81573275, -5.0, 4.0, the pow
211614.900269917, 211614.982380417, -5.0, 4.0, the pov
211615.166934125, 211615.265849583, -5.0, 4.0, the pow
