beautiful paintings in the gallery, 0, false, 1
beautiful paintings in the gallery, 165, false, 1
207974.597897292, 207974.71281725, -5.0, 4.0
207975.047521542, 207975.846203667, 19.2550010681152, 4.0
207976.681010958, 207977.3142315, 11.0050010681152, 4.0
207980.381062917, 207980.464290583, 100.0, 1.0
207980.348169458, 207980.746501333, -5.0, 4.0
207981.147811083, 207981.980070875, 7.78749942779541, 4.0
207982.731169542, 207982.797839833, -5.0, 4.0
207982.881280292, 207982.979960583, -5.0, 4.0
207983.04788475, 207983.131384167, -5.0, 4.0
207983.581311833, 207984.197985958, 5.06500053405762, 4.0
207984.814767708, 207984.913471125, -5.0, 4.0
207984.964883375, 207985.063517042, -5.0, 4.0
207985.131608917, 207985.230112875, -5.0, 4.0
207985.333985708, 207985.430056042, -5.0, 4.0
207986.548472125, 207987.714914667, 2.01250028610229, 4.0
207988.281608792, 207988.380374708, -5.0, 4.0
207988.448597833, 207988.548279542, -5.0, 4.0
207988.915080625, 207989.615064, 5.55999946594238, 4.0
207990.148422167, 207990.248346792, -5.0, 4.0
