they might find your comment offensive, 139, char, 1
225431.51610875, 225431.616079125, -5.0, 4.0, only am
225431.666115042, 225431.764919125, -5.0, 4.0, only ah
225431.832771667, 225431.932682792, -5.0, 4.0, only an
225433.11614875, 225433.416148167, 5.23000049591064, 4.0, only ana
225433.11614875, 225433.416148167, 5.23000049591064, 4.0, only ani
225434.182783917, 225434.314924125, -5.0, 4.0, only an
225435.049561208, 225435.899645042, 5.23000049591064, 4.0, only an a
225435.049561208, 225435.899645042, 5.23000049591064, 4.0, only an i
225437.166400417, 225437.58307125, 2.09500026702881, 4.0, only an ia
225437.166400417, 225437.58307125, 2.09500026702881, 4.0, only an ib
225438.233044583, 225438.349756208, -5.0, 4.0, only an i
225438.416510917, 225438.516573667, -5.0, 4.0, only an ic
225438.583077208, 225438.681864167, -5.0, 4.0, only an id
225439.583221917, 225440.083340792, 8.11750030517578, 4.0, only an idi
225441.000057, 225441.899960583, 13.1499996185303, 4.0, only an idii
225441.000057, 225441.899960583, 13.1499996185303, 4.0, only an idim
225442.466636667, 225442.566636625, -5.0, 4.0, only an idin
225442.616789417, 225442.715492667, -5.0, 4.0, only an idil
225442.783659083, 225442.850188875, -5.0, 4.0, only an idio
225443.60029125, 225444.966893375, 17.0275001525879, 4.0, only an idioq
225443.60029125, 225444.966893375, 17.0275001525879, 4.0, only an idior
225445.650355542, 225445.733490458, -5.0, 4.0, only an idiop
225445.8003705, 225445.882358917, -5.0, 4.0, only an idios
225445.950497625, 225446.033628083, -5.0, 4.0, only an idioo
225446.083502875, 225446.167001417, -5.0, 4.0, only an idiot
225447.050508292, 225447.500535583, 3.08500003814697, 4.0, only an idiota
225447.050508292, 225447.500535583, 3.08500003814697, 4.0, only an idiotb
225448.017002167, 225448.1005265, -5.0, 4.0, only an idiot
225448.51720525, 225449.81598375, 21.1525001525879, 4.0, only an idiot v
225448.51720525, 225449.81598375, 21.1525001525879, 4.0, only an idiot u
225450.417226667, 225450.466023417, -5.0, 4.0, only an idiot w
225450.983973417, 225451.749623833, 17.0275001525879, 4.0, only an idiot wq
225450.983973417, 225451.749623833, 17.0275001525879, 4.0, only an idiot wr
225452.300595958, 225452.366136, -5.0, 4.0, only an idiot wp
225452.434142542, 225452.534112917, -5.0, 4.0, only an idiot ws
225452.584219917, 225452.684087583, -5.0, 4.0, only an idiot wo
225453.467457208, 225454.599389208, 18.0174999237061, 4.0, only an idiot wor
225453.467457208, 225454.599389208, 18.0174999237061, 4.0, only an idiot wos
225454.967451917, 225455.017531, -5.0, 4.0, only an idiot woq
225455.134471333, 225455.20094975, -5.0, 4.0, only an idiot wot
225455.251024083, 225455.334427458, -5.0, 4.0, only an idiot wop
225455.417607375, 225455.500998208, -5.0, 4.0, only an idiot wou
225456.234683292, 225456.767679083, 12.3249988555908, 4.0, only an idiot woui
225456.234683292, 225456.767679083, 12.3249988555908, 4.0, only an idiot woul
225457.634516375, 225457.951127125, 3.00250053405762, 4.0, only an idiot woula
225457.634516375, 225457.951127125, 3.00250053405762, 4.0, only an idiot woulb
225458.453650833, 225458.499885208, -5.0, 4.0, only an idiot woul
225458.701082417, 225458.799883208, -5.0, 4.0, only an idiot woulc
225458.8679485, 225458.966650167, -5.0, 4.0, only an idiot would
225459.534559167, 225459.834544542, 1.02250003814697, 4.0, only an idiot woulda
225459.534559167, 225459.834544542, 1.02250003814697, 4.0, only an idiot wouldb
225460.201129708, 225460.283249167, -5.0, 4.0, only an idiot would
225460.751312417, 225461.5833765, 11.2525005340576, 4.0, only an idiot would i
225460.751312417, 225461.5833765, 11.2525005340576, 4.0, only an idiot would k
225461.934443708, 225462.017956625, -5.0, 4.0, only an idiot would l
225462.501383708, 225463.118121292, 9.02500057220459, 4.0, only an idiot would li
225462.501383708, 225463.118121292, 9.02500057220459, 4.0, only an idiot would lh
225464.284827708, 225464.468359083, 1.1875, 4.0, only an idiot would lha
225465.5849335, 225465.751428833, 100.0, 1.0, only an idiot would lh
